url of the experience,Ranking of the experience,Keyword-1,Keyword-2,Keyword-3,Keyword-4,Keyword-5,Keyword-6,Keyword-7,Keyword-8,Keyword-9,Keyword-10,Keyword-11,post_title,flat_fee_price,base_price per person,Tiering_Price,min_num_attendees,max_num_attendees,is_shipping_required,is_available_globally (international shipping?),duration_minutes,primary_kit_of the experience,optional_kit_of the experience,is the experience has kit?,"links to photos of In-office team ,Hybrid team, Remote team",content of experience
https://www.teamraderie.com/experiences/virtual-team-building-for-transparency-summer-sanders/,9,Role Definition,Transparency,Resilience,Olympian,Inspiration,,Engagement,Expectations,Adaptability,Role Clarity & Expectations,Discussion; Celebrity; Olympian,What If We All Wore Speedos at Work?,2000,0,"[{""lower_bound"":1, ""upper_bound"":20, ""price"": 2000.00}, {""lower_bound"":21, ""upper_bound"":50, ""price"": 2500.00}, {""lower_bound"":51, ""upper_bound"":70, ""price"": 3000.00}, {""lower_bound"":71, ""upper_bound"":100, ""price"": 3450.00}]",1,100,0,1,45,,,FALSE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","Join Olympic medalist Summer Sanders as she shares the secrets of high-performing teams.

Learn the three norms of successful athletic teams and apply them to your work with her guidance. Discover the transformative power of this foundational Teamraderie experience!it belongs to cateory of Learning Together, Notable hostwith attributes of Develop Skills: Level up your team by developing crucial skills that create a solid foundation for optimal team performance.

Share with Clients and Customers: Build trust and connection with clients and customers by inviting them to join you in sharing this experience.

Take Initiative: Step up to the challenge and take initiative as a team to solve problems, overcome obstacles, and achieve your goals.
it has tags of inspire-and-excite, thrive-with-hybridits outcome isTaking Initiative"
https://www.teamraderie.com/experiences/virtual-team-building-for-appreciation/,7,Appreciation,Recognition,Inspiration,Tasting,Wine,,Reflection,Team Environment,Feel Good,Positivity,Discussion; Food; Kit Included; Celebrity; Hands-on,Wine and Cheese Tasting in the Spirit of Appreciation,0,195,,1,100,1,0,45,"Receive a kit with one 750mL bottle of Merlot + paired cheese, salami, and crackers. Red Wine Kit","Receive a kit with one 750mL bottle of Sauvignon Blanc + paired cheese, salami, and crackers. White Wine Kit",TRUE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","Take the time to appreciate your team while trying either a red or white wine from one of Napa Valley's most acclaimed wineries.

Joined by an Olympic medalist, you will also learn the difference between appreciation and recognition and discuss what you appreciate in each team member. As a result, your team will feel more unified and connected.it belongs to cateory of Happy Hour, Notable host, Celebrations, Food Tastings, Wine Tastingwith attributes of Create Inclusion and Belonging: Everyone on your team should feel seen, heard, and valued. Increase your team’s sense of belonging with this experience.

Share with Clients and Customers: Build trust and connection with clients and customers by inviting them to join you in sharing this experience.

Transform Your Foundation: Establish a critical foundation for your team to work their best. No two teams are alike; create something that works for YOU.
it has tags of bond-and-connectits outcome isInclusion and Belonging"
https://www.teamraderie.com/experiences/virtual-wine-pairing-chateau-montelena/,7,Team Dynamics,Happy Hour,Wine Tasting,Celebration,Inspiration,,Milestone,Team Environment,,,Food; Kit Included; Hands-on,Wine and Snack Pairing Experience to Celebrate Teams,0,195,,1,500,1,0,45,"One (1) 750mL Full Bottle of Zinfandel Wine + Paired Salumi, Rustic Crackers, and Dried Fruit Red Wine Pairing Kit","One (1) 750mL Full Bottle of Chardonnay Wine + Paired Salumi, Rustic Crackers, and Dried Fruit White Wine Pairing Kit",TRUE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","With over 800 wineries in Napa Valley, Chateau Montelena (from the critically acclaimed film ""Bottle Shock"") consistently produces the world's most acclaimed wine.

Celebrate your team while you learn the history of this world-famous winery and enjoy a full bottle of wine, dried fruits, and flatbread.it belongs to cateory of Food Tastings, Happy Hour, Wine Tasting, Celebrationswith attributes of Share with Clients and Customers: Build trust and connection with clients and customers by inviting them to join you in sharing this experience.

Form a United Team: Creating a united team allows you to work together while supporting each other as you work to achieve your common goals.
Inspire Joy: What’s better than bringing a smile to someone’s face? Enjoy this joyful experience and share smiles with your team
it has tags of bond-and-connect, search-mp-3, search-new-4its outcome isJoy"
https://www.teamraderie.com/experiences/virtual-wine-tasting-experience-with-chateau-montelena/,7,Happy Hour,Inspiration,Team Dynamics,Tasting,Wine,,Milestone,Team Environment,,,Food; Kit Included; Hands-on,Wine Tasting to Inspire Curiosity in Teams,0,300,,1,199,1,0,45,One (1) 750mL bottle of Chateau Montelena chardonnay and one (1) 750mL bottle of Chateau Montelena Napa Valley cabernet Chateau Montelena 'Curiosity' Kit,"One (1) 500mL bottle of Ghia (orange, grape, ginger apertif) and one (1) 750mL bottle of rhubarb and orange-infused non-alcoholic Aperol. Non-Alcoholic 'Curiosity' Kit",TRUE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;In 1972, Jim Barrett bought a crumbling estate in Napa Valley. He knew little about wine. But he knew how to hire curious people and give them space to innovate. \n\nFour years later, Chateau Montelena produced the world's #1 rated wine – starting a 40+ year run of producing winning wines. \n\nYour team will taste amazing wines while exploring lessons from the birth of America's wine industry. You will learn why “curiosity” is the core of the winery's culture – and how curiosity is sustained in an industry known for tradition.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:897,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0}"">In 1972, Jim Barrett bought a crumbling estate in Napa Valley. He knew little about wine. But he knew how to hire curious people and give them space to innovate.</span>

Four years later, Chateau Montelena produced the world's #1 rated wine – starting a 40+ year run of producing winning wines.

Your team will taste amazing wines while exploring lessons from the birth of America's wine industry. You will learn why “curiosity” is the core of the winery's culture – and how curiosity is sustained in an industry known for tradition.it belongs to cateory of Happy Hour, Wine Tastingwith attributes of Form a United Team: Creating a united team allows you to work together while supporting each other as you work to achieve your common goals.
Make Connections: Whether it’s a connection to your organization’s purpose or to colleagues, make connection-building a priority
Share with Clients and Customers: Build trust and connection with clients and customers by inviting them to join you in sharing this experience.
it has tags of  its outcome isConnection"
https://www.teamraderie.com/experiences/virtual-team-building-with-in-q-oprah-winfreys-favorite-poet/,7,Empathy,Authenticity,Share Your Story,Perspective,Transformation,,Vulnerability,Risk-Taking,,,Celebrity; Discussion; Hands-on,Learn Authentic Communication with Award-Winning Poet IN-Q,3000,0,"[{""lower_bound"":1, ""upper_bound"":20, ""price"": 3000.00}, {""lower_bound"":21, ""upper_bound"":50, ""price"": 3750.00}, {""lower_bound"":51, ""upper_bound"":70, ""price"": 4500.00}, {""lower_bound"":71, ""upper_bound"":100, ""price"": 5175.00}]",1,100,0,1,90,,,FALSE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Harvard Business Review states, “Teams should make authenticity a core value from the start.” When employees introduce their authentic selves, “Both they and their employer perform better.”\n\nAn award-winning poet IN-Q joins you live. IN-Q performs and then shows you how to use the spoken word to tell your story, and empower your team.\n\nThis powerful Experience will help your team form deep connections and trust – fast. This Experience is praised for ‘developing empathy’ and ‘learning vulnerability from a place of strength’.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:897,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0}"">Harvard Business Review states, “Teams should make authenticity a core value from the start.” When employees introduce their authentic selves, “Both they and their employer perform better.”</span>

Award-winning poet and song writer IN-Q joins you live. For the first ten (10) minutes, IN-Q performs a piece of work live -- and your team becomes accustomed to 'spoken word art' or 'slam poetry' as a medium for story-telling. Then, IN-Q will share a prompt and your team will practice their own story-telling.

A February 2021 <em>Wall Street Journal</em> front-page article praised this Teamraderie experience for emblematic of how modern managers are adapting their style for a new era of work. The <em>WSJ </em>story quotes a Dell Technologies executive who used the experience to create ""a deeper sense of trust between colleagues."" This experience will help your team form deep connections and trust – fast.it belongs to cateory of Notable hostwith attributes of Boost Energy and Motivation: Beat the midday slump with this pick-me-up experience to boost energy, motivation, and productivity on your team. 
Build Team Trust: Trust is the foundation for everything we do. Build trust between team members and prioritize expressing appreciation.

Form a United Team: Creating a united team allows you to work together while supporting each other as you work to achieve your common goals.
Increase Psychological Safety: Teams thrive when they feel safe to express thoughts and ideas, and are more innovative, creative, and higher-performing.

Transform Your Foundation: Establish a critical foundation for your team to work their best. No two teams are alike; create something that works for YOU.
it has tags of collaborate-and-create, trust-and-transform, search-mp-2its outcome isEnergy, Psychological Safety, Team Trust"
https://www.teamraderie.com/experiences/virtual-beer-tasting-events-teamraderie/,6,Bonding,Connection,Fun,Beer,Tasting,,Corporate Social Responsibility,Communication,,,Beverage; Kit Included; Alcohol; Tasting; Hands-on,Drink Again…Learning to Think Broadly About Beer,0,100,,1,100,1,0,45,"A generous kit with four (4) different cans of award-winning craft beer, popcorn, and a commemorative pint glass. Beer Kit","A generous kit with four (4) different cans of award-winning non-alcoholic beer, popcorn, and a commemorative pint glass. Non-alcoholic Beer Kit",TRUE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","Led by a top cicerone in the field, this immersive experience will take you on a beer-tasting adventure where you will discover ancient beer-making secrets and also get to savor four contemporary beer styles that showcase the full spectrum of beer's tantalizing flavors.

So, raise your glass and get ready to cheers your team as you embark on this incredible beer-tasting voyage!it belongs to cateory of Happy Hour, Celebrationswith attributes of Form a United Team: Creating a united team allows you to work together while supporting each other as you work to achieve your common goals.
Make Connections: Whether it’s a connection to your organization’s purpose or to colleagues, make connection-building a priority
Share with Clients and Customers: Build trust and connection with clients and customers by inviting them to join you in sharing this experience.
it has tags of bond-and-connectits outcome isConnection"
https://www.teamraderie.com/experiences/swirl-sniff-and-swallow-a-journey-through-olive-oil/,5,Bonding,Connection,Fun,Tasting,Olive Oil,,,,,,Food; Kit Included; Tasting; Hands-on,"Swirl, Sniff, Slurp and Swallow – An Olive Oil Tasting",0,95,,1,100,1,1,45,,,FALSE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","Swirl, Sniff, Slurp and Swallow your way to knowledge.

During this fun experience, your team will taste and rank four different types of olive oil using the four S's of olive oil tasting from Craig Hilliker, a certified Master Sensory Evaluator of olive oil and Certified Master Miller of olive oil.it belongs to cateory of Food Tastingswith attributes of Form a United Team: Creating a united team allows you to work together while supporting each other as you work to achieve your common goals.
Make Connections: Whether it’s a connection to your organization’s purpose or to colleagues, make connection-building a priority
Share with Clients and Customers: Build trust and connection with clients and customers by inviting them to join you in sharing this experience.
it has tags of bond-and-connectits outcome isConnection"
https://www.teamraderie.com/experiences/virtual-team-refresh/,6,Communication,Conflict,Inflexible Work Processes,Ineffective Decision-Making,Workplace Relationships,,Enablement,Manager,Managing Change,Manager Support,Workshop; Discussion; Professor; Stanford,"Team Refresh | Energy, Focus and Progress for Your Team",2000,0,"[{""lower_bound"":1, ""upper_bound"":20, ""price"": 2000.00}, {""lower_bound"":21, ""upper_bound"":50, ""price"": 2500.00}, {""lower_bound"":51, ""upper_bound"":70, ""price"": 3000.00}, {""lower_bound"":71, ""upper_bound"":100, ""price"": 3450.00}]",1,100,0,1,45,,,FALSE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","Unlock your team's highest potential by treating them like a cherished relationship.

Stanford's Dr. Kathryn Velcich will guide your team through research-backed exercises that show how episodic check-ins build a stronger bond with your team. Through two exercises--focusing on eliminating energy depletion and doubling down on top-yielding performance--you will learn from one of Stanford's top professors how to take your team to the next level.it belongs to cateory of Team Skillswith attributes of Establish Team Norms: What rituals or habits does your team have? Create team norms together that you can all participate in and rely on.

Transform Your Foundation: Establish a critical foundation for your team to work their best. No two teams are alike; create something that works for YOU.
it has tags of thrive-with-hybrid, trust-and-transformits outcome isTeam Norms"
https://www.teamraderie.com/experiences/a-coffee-tasting-jumpstart-for-your-team/,10,Connection,Bonding,Activity,Community,Simple,Cookies,,,,,Food; Kit Included; Tasting; Coffee; Tea; Baked Goods; Cookies; Hands-on,Coffee and Tea Tasting Jumpstart for Your Team,0,65,,1,1000,1,1,30,"Your kit includes an assortment of pour-over coffee dripkits, ceramic mug, and alfajores cookies. Coffee Tasting Kit","Your kit includes assorted loose leaf teas (including decaf herbal option), ceramic mug, metal infuser, and alfajores cookies. Tea Tasting Kit",TRUE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","Why do we gather over coffee and tea? Why do we associate cafes with new connections, new thinking, and new ideas?

Coffee and tea create community and bring us together. Your teammates will receive elegant coffee and tea kits. One of the world’s top baristas will join you to lead coffee/tea brewing and tasting. Your team will discuss regional flavors and understand the journey from farm to cup.

Rekindle a cherished office tradition...without the line at the coffee/tea machine. Make the day brighter for your team.it belongs to cateory of Coffee and Teawith attributes of Form a United Team: Creating a united team allows you to work together while supporting each other as you work to achieve your common goals.
Make Connections: Whether it’s a connection to your organization’s purpose or to colleagues, make connection-building a priority
Share with Clients and Customers: Build trust and connection with clients and customers by inviting them to join you in sharing this experience.
it has tags of bond-and-connect, collaborate-and-create, search-mp-1, search-new-1its outcome isConnection, it contain Cookiesin the kit"
https://www.teamraderie.com/experiences/design-a-team-ritual-activity/,2,Remote Work,Improvement,Virtual Meetings,Team Norms,Remote Collaboration,,,,,,Discussion; Workshop; Professor,Design a Team Ritual to Boost Productivity and Collaboration,1500,0,"[{""lower_bound"":1, ""upper_bound"":30, ""price"": 1500.00}, {""lower_bound"":31, ""upper_bound"":50, ""price"": 1875.00}]",1,50,0,1,45,,,FALSE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","Learn how to create meaningful rituals that foster connection and productivity. \

With Stanford Professor Glenn Fajardo's expert guidance, you'll establish a shared purpose and identity, leading to better communication and decision-making. Celebrate successes, acknowledge challenges, and provide a sense of closure, creating a more motivated and engaged team.

Sign up now to take your team to the next level!it belongs to cateory of Team Skillswith attributes of Develop Skills: Level up your team by developing crucial skills that create a solid foundation for optimal team performance.

Establish Team Norms: What rituals or habits does your team have? Create team norms together that you can all participate in and rely on.

Transform Your Foundation: Establish a critical foundation for your team to work their best. No two teams are alike; create something that works for YOU.

Work as a Distributed Team: Regardless of your location, you have the same goal in mind. Work together to develop your distributed team for success.
it has tags of collaborate-and-create, thrive-with-hybridits outcome isDistributed Teamwork, Team Norms"
https://www.teamraderie.com/experiences/choreography-and-its-lessons-for-transformation-in-business/,9,Ambiguity,Balance,Innovation,Risk,Choreography,,Risk Taking,Customer Focus,,,Discussion; Activity: Hands-on; Celebrity; Dance,Break Down Complexity with Legendary Choreographer,3000,0,"[{""lower_bound"":1, ""upper_bound"":20, ""price"": 3000.00}, {""lower_bound"":21, ""upper_bound"":50, ""price"": 3750.00}, {""lower_bound"":51, ""upper_bound"":70, ""price"": 4500.00}, {""lower_bound"":71, ""upper_bound"":100, ""price"": 5175.00}]",1,100,0,1,45,,,FALSE,"In Office:
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/InOffice1.jpg

Hybrid:
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid2.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Hybrid1.jpg

Remote:
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote1.jpg
https://www.teamraderie.com/wp-content/uploads/2023/07/Remote2.jpg","When teams ""make authenticity a core value from the start"" and introduce their authentic selves, ""both they and their employer perform better,"" according to Harvard Business Review. Award-winning poet and songwriter IN-Q helps your team practice their own authentic storytelling through poetry.it belongs to cateory of Learning Together, Notable hostwith attributes of Boost Energy and Motivation: Beat the midday slump with this pick-me-up experience to boost energy, motivation, and productivity on your team. 
Develop Skills: Level up your team by developing crucial skills that create a solid foundation for optimal team performance.

Flexible Learning Mindset: Help others become more receptive to change and growth. Instill a flexible learning mindset to advance as a team.

Form a United Team: Creating a united team allows you to work together while supporting each other as you work to achieve your common goals.
Share with Clients and Customers: Build trust and connection with clients and customers by inviting them to join you in sharing this experience.
it has tags of inspire-and-excite, thrive-with-hybrid, trust-and-transform, search-mp-1its outcome isEnergy, Learning Mindset"
